Name,Release_Year,Description,Minimum_Players,Maximum_Players,Minimum_Time,Maximum_Time,Age_Rating,Complexity_Score,BGG_Rating,Game_Categories,Game_Mechanics,BGG_Rank,Complexity_Category
Lords of Hellas,2018,"Honor the Gods, build temples, defeat monsters, and establish supremacy over Hellas.",1,4,60,90,14,3.3,7.64,"['ancient', 'mythology', 'territory-building']","['area-majority-influence', 'area-movement', 'card-play-conflict-resolution', 'dice-rolling', 'hand-management', 'open-drafting', 'solo-solitaire-game', 'variable-player-powers', 'worker-placement']",422,Medium
51st State: Master Set,2016,"Build, deal and raise your state out of the ashes of the apocalypse.",1,4,60,90,14,2.9,7.58,"['card-game', 'city-building', 'economic', 'science-fiction']","['hand-management', 'open-drafting', 'variable-phase-order', 'variable-player-powers', 'worker-placement']",423,Medium
Expeditions,2023,Venture to the dangerous north in this tile-exploration sequel to Scythe.,1,5,60,90,14,3.0,7.66,['exploration'],"['action-retrieval', 'deck-bag-and-pool-building', 'grid-movement', 'hand-management', 'melding-and-splaying', 'modular-board', 'multi-use-cards', 'solo-solitaire-game', 'variable-player-powers', 'variable-set-up', 'victory-points-as-a-resource', 'worker-placement', 'worker-placement-different-worker-types']",424,Medium
Unmatched: Robin Hood vs. Bigfoot,2019,The big beast and the wily rogue fight to see who's king of the forest.,2,2,5,40,9,1.9,7.92,"['card-game', 'fantasy', 'fighting', 'mythology', 'novel-based']","['action-points', 'campaign-battle-card-driven', 'card-play-conflict-resolution', 'hand-management', 'line-of-sight', 'point-to-point-movement', 'variable-player-powers']",425,Light
Hannibal: Rome vs. Carthage,1996,Card driven strategic and political struggle between Ancient Rome and Carthage.,2,2,40,200,12,3.5,7.78,"['ancient', 'political', 'wargame']","['area-majority-influence', 'campaign-battle-card-driven', 'dice-rolling', 'events', 'point-to-point-movement', 'simulation']",426,Medium
Altiplano,2017,Bag building in the highlands of Peru.,2,5,60,120,12,3.3,7.45,['economic'],"['action-points', 'contracts', 'deck-bag-and-pool-building', 'modular-board', 'open-drafting', 'tile-placement', 'turn-order-progressive', 'variable-player-powers', 'variable-set-up', 'worker-placement']",427,Medium
Newton,2018,Action selection and hand management in the age of enlightenment.,1,4,70,110,14,3.4,7.52,"['age-of-reason', 'travel']","['action-retrieval', 'closed-drafting', 'deck-bag-and-pool-building', 'end-game-bonuses', 'hand-management', 'income', 'open-drafting', 'point-to-point-movement', 'solo-solitaire-game', 'tech-trees-tech-tracks', 'tile-placement', 'turn-order-progressive', 'variable-set-up']",428,Medium
Fall of Rome,2018,Will you be strong enough to protect the Imperium from the Barbarians?,1,5,45,60,8,2.5,7.61,['ancient'],"['action-points', 'cooperative-game', 'dice-rolling', 'events', 'hand-management', 'point-to-point-movement', 'set-collection', 'solo-solitaire-game', 'variable-player-powers']",429,Medium
The Pillars of the Earth,2006,"Produce, craft, and recruit to build a cathedral in this classic worker placement.",2,4,90,120,12,2.8,7.26,"['economic', 'medieval', 'novel-based', 'religious']","['events', 'market', 'turn-order-claim-action', 'turn-order-random', 'worker-placement', 'worker-placement-different-worker-types']",430,Medium
Notre Dame,2007,Improve the area around Notre Dame Cathedral to earn prestige for your family.,2,5,45,75,10,2.7,7.31,"['economic', 'renaissance']","['area-majority-influence', 'closed-drafting', 'point-to-point-movement']",431,Medium
Smartphone Inc.,2018,Success is measured in money as you build your global smartphone empire.,1,5,60,90,12,2.8,7.57,"['economic', 'industry-manufacturing']","['action-queue', 'area-majority-influence', 'layering', 'network-and-route-building', 'simultaneous-action-selection', 'solo-solitaire-game', 'turn-order-stat-based', 'variable-set-up']",432,Medium
Twice as Clever!,2019,"Roll colorful dice, choosing just one each roll to combo bonuses and points!",1,4,10,50,10,2.3,7.43,"['dice', 'number']","['dice-rolling', 'paper-and-pencil', 're-rolling-and-locking', 'solo-solitaire-game']",433,Medium
Marrakesh,2022,Influential families react to the whims of the cube tower to gain power in the city. ,2,4,100,140,14,3.4,8.13,['city-building'],"['cube-tower', 'end-game-bonuses', 'open-drafting', 'simultaneous-action-selection']",434,Medium
The Godfather: Corleone's Empire,2017,Reach the top of the cut-throat mob world...all others sleep with the fishes.,2,5,60,90,14,2.6,7.52,"['economic', 'mafia', 'movies-tv-radio-theme']","['area-majority-influence', 'auction-bidding', 'hand-management', 'memory', 'open-drafting', 'take-that', 'variable-player-powers', 'worker-placement', 'worker-placement-different-worker-types']",435,Medium
At the Gates of Loyang,2009,Harvest crops and fulfill orders to become the most prosperous merchant.,1,4,60,120,10,3.1,7.36,"['economic', 'farming']","['contracts', 'income', 'loans', 'market', 'open-drafting', 'solo-solitaire-game', 'turn-order-progressive']",436,Medium
Mage Wars Arena,2012,Fight to the death as a powerful mage in this game of deep strategy and decisions!,2,2,70,110,13,3.7,7.57,"['card-game', 'fantasy', 'fighting']","['deck-construction', 'dice-rolling', 'grid-movement', 'line-of-sight', 'simultaneous-action-selection', 'square-grid', 'turn-order-progressive', 'variable-player-powers']",437,Medium
Gùgōng,2018,"Exchange gifts, send servants, and visit the Emperor in a luscious 1570 China.",1,5,60,90,12,3.1,7.43,"['medieval', 'travel']","['area-majority-influence', 'hand-management', 'set-collection', 'worker-placement']",438,Medium
Saint Petersburg,2004,"Hire craftsmen, pay for buildings, snag noblemen as you compete for rubles and glory.",2,4,45,60,10,2.4,7.27,"['age-of-reason', 'card-game', 'city-building', 'economic']","['income', 'open-drafting', 'set-collection']",439,Medium
Andromeda's Edge,2024,Factions clash on the edge of the galaxy!,2,4,80,160,14,3.7,8.46,"['fighting', 'science-fiction']","['area-majority-influence', 'dice-rolling', 'hand-management', 'variable-player-powers', 'worker-placement']",440,Medium
Keep the Heroes Out!,2022,"As monsters, work together to defend your dungeon against so-called heroes.",1,4,20,60,10,2.5,8.02,['fantasy'],"['action-retrieval', 'area-movement', 'cooperative-game', 'deck-bag-and-pool-building', 'modular-board', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'variable-player-powers', 'variable-set-up']",441,Medium
Cartographers Heroes,2021,Explore new lands and chart the deeds of brave heroes who defeat monsters.,1,100,30,45,10,2.0,7.75,"['fantasy', 'territory-building']","['bingo', 'end-game-bonuses', 'grid-coverage', 'line-drawing', 'paper-and-pencil', 'simultaneous-action-selection', 'solo-solitaire-game', 'square-grid', 'variable-set-up']",442,Light
Arkham Horror,2005,Work as a team to save the town of Arkham from monsters and a Great Old One.,1,8,120,240,14,3.6,7.24,"['adventure', 'fighting', 'horror', 'novel-based']","['cooperative-game', 'dice-rolling', 'events', 'finale-ending', 'hand-management', 'lose-a-turn', 'point-to-point-movement', 'role-playing', 'solo-solitaire-game', 'stat-check-resolution', 'variable-player-powers']",443,Medium
Blitzkrieg!: World War Two in 20 Minutes,2019,Deploy units in different theaters of combat to win WW2.,1,2,20,45,14,1.9,7.58,"['wargame', 'world-war-ii']","['area-majority-influence', 'deck-bag-and-pool-building', 'hand-management', 'kill-steal', 'race', 'solo-solitaire-game', 'take-that', 'tug-of-war', 'worker-placement-different-worker-types']",444,Light
King of Tokyo,2011,Prove your dominance by destroying Tokyo or by being the last monster left standing.,2,6,10,50,8,1.5,7.13,"['dice', 'fighting', 'movies-tv-radio-theme', 'science-fiction']","['dice-rolling', 'die-icon-resolution', 'king-of-the-hill', 'open-drafting', 'player-elimination', 'push-your-luck', 're-rolling-and-locking', 'tags']",445,Light
Honey Buzz,2020,Bees have discovered economics! Make and sell honey to get money and win!,1,4,45,90,10,2.7,7.54,"['animals', 'economic']","['action-retrieval', 'contracts', 'grid-movement', 'hexagon-grid', 'memory', 'open-drafting', 'pattern-building', 'solo-solitaire-game', 'square-grid', 'tile-placement', 'worker-placement']",446,Medium
Chess,1475,Checkmate your opponent in this timeless abstract.,2,2,5,90,6,3.7,7.22,['abstract-strategy'],"['grid-movement', 'once-per-game-abilities', 'pattern-movement', 'square-grid', 'static-capture', 'sudden-death-ending']",447,Medium
Akropolis,2022,Build your Greek city on multiple levels to keep your districts perfectly placed.,1,4,20,30,8,1.8,7.47,"['ancient', 'city-building', 'territory-building']","['auction-dutch', 'end-game-bonuses', 'layering', 'open-drafting', 'pattern-building', 'tile-placement']",448,Light
Downforce,2017,"Auction, bet, race! You can lose the race and still win the game.",2,6,20,40,10,1.7,7.28,"['racing', 'sports']","['auction-bidding', 'betting-and-bluffing', 'hand-management', 'moving-multiple-units', 'player-elimination', 'predictive-bid', 'track-movement', 'variable-player-powers']",449,Light
Skull,2011,"Does the token hide a flower or skull? Bid, bluff and laugh with striking components.",3,6,15,45,10,1.1,7.19,"['bluffing', 'card-game', 'party-game']","['auction-bidding', 'bids-as-wagers', 'hand-management', 'player-elimination']",450,Light
Dice Forge,2017,Control luck itself! Choose to forge improved dice or complete quests for rewards.,2,4,25,65,10,2.0,7.22,"['ancient', 'dice', 'fantasy', 'mythology']","['deck-bag-and-pool-building', 'dice-rolling', 'open-drafting', 'random-production']",451,Light
Die Macher,1986,Players represent political parties attempting to gain power in Germany.,3,5,220,260,14,4.3,7.59,"['economic', 'negotiation', 'political']","['alliances', 'area-majority-influence', 'auction-bidding', 'dice-rolling', 'hand-management', 'simultaneous-action-selection']",452,Heavy
Endeavor,2009,"Spread your glory over the vast, as of yet unexplored world.",3,5,70,110,12,2.9,7.37,"['exploration', 'nautical', 'renaissance']","['area-majority-influence', 'hand-management', 'open-drafting', 'set-collection', 'tech-trees-tech-tracks']",453,Medium
In the Year of the Dragon,2007,Choose and manage your workers to protect your palaces from a series of disasters.,2,5,75,100,12,3.1,7.3,"['economic', 'medieval']","['action-drafting', 'events', 'hand-management', 'turn-order-stat-based', 'variable-set-up']",454,Medium
Ticket to Ride: Märklin,2006,Build railroad routes across Germany to try to connect valuable destinations.,2,5,30,60,8,2.2,7.41,"['trains', 'transportation']","['hand-management', 'network-and-route-building', 'open-drafting', 'point-to-point-movement', 'set-collection']",455,Medium
Descent: Legends of the Dark,2021,An app-driven dungeon crawl set in the world of Terrinoth.,1,4,120,180,14,2.7,7.93,"['adventure', 'fantasy', 'fighting', 'miniatures']","['cooperative-game', 'dice-rolling', 'grid-movement', 'modular-board', 'movement-points', 'role-playing', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'square-grid', 'variable-player-powers']",456,Medium
London (Second Edition),2017,"Draft cards, avoid debt, and run your industrial engine to rebuild London.",2,4,60,90,14,2.7,7.49,"['card-game', 'city-building']","['action-queue', 'hand-management', 'loans', 'open-drafting', 'take-that']",457,Medium
IKI,2015,"Hire artisans, set them up in the market and acquire prestige in feudal Japan.",2,4,60,90,14,3.0,7.63,['medieval'],"['open-drafting', 'ownership', 'rondel', 'set-collection', 'track-movement', 'turn-order-stat-based']",458,Medium
Tiny Towns,2019,Plan well as you build your town one building at a time. Will it fit?,1,6,45,60,14,2.1,7.22,"['abstract-strategy', 'animals', 'city-building', 'puzzle']","['end-game-bonuses', 'follow', 'grid-coverage', 'pattern-building', 'player-elimination', 'solo-solitaire-game', 'square-grid', 'turn-order-progressive', 'variable-phase-order', 'variable-player-powers', 'variable-set-up']",459,Medium
Cubitos,2021,Race for the glory of the Cube Cup in this exciting game of luck and strategy!,2,4,30,60,10,2.2,7.4,"['dice', 'racing']","['catch-the-leader', 'deck-bag-and-pool-building', 'delayed-purchase', 'dice-rolling', 'market', 'push-your-luck', 'race', 're-rolling-and-locking', 'variable-set-up']",460,Medium
Boonlake,2021,"Build, raise cattle, expand and explore in a fictional Western US region.",1,4,80,160,14,3.8,7.64,"['american-west', 'civilization', 'economic', 'exploration', 'farming', 'industry-manufacturing', 'territory-building']","['end-game-bonuses', 'follow', 'hexagon-grid', 'income', 'map-addition', 'multi-use-cards', 'point-to-point-movement', 'solo-solitaire-game', 'tile-placement', 'track-movement', 'variable-set-up']",461,Medium
Bruxelles 1893,2013,Manage your workers to help usher in a new era of culture and progress in Brussels.,2,5,50,125,13,3.6,7.6,['economic'],"['area-majority-influence', 'auction-bidding', 'modular-board', 'open-drafting', 'worker-placement']",462,Medium
Azul: Stained Glass of Sintra,2018,Create beautiful windows with coloured glass more efficiently than anyone else.,2,4,30,45,8,2.0,7.3,"['abstract-strategy', 'puzzle', 'renaissance']","['end-game-bonuses', 'modular-board', 'open-drafting', 'pattern-building', 'set-collection', 'tile-placement', 'turn-order-claim-action']",463,Light
San Juan (Second Edition),2014,"As you build up San Juan, carefully choose how to use the multi-use cards you have.",2,4,45,60,10,2.1,7.45,"['card-game', 'city-building', 'economic']","['action-drafting', 'follow', 'hand-management', 'multi-use-cards', 'set-collection', 'variable-phase-order']",464,Medium
Pan Am,2020,Triumph in the golden age of air travel.,2,4,40,80,12,2.4,7.54,"['aviation-flight', 'economic', 'transportation']","['auction-bidding', 'auction-fixed-placement', 'connections', 'constrained-bidding', 'dice-rolling', 'events', 'income', 'stock-holding', 'turn-order-claim-action', 'turn-order-progressive', 'worker-placement']",465,Medium
King of Tokyo: Dark Edition,2020,Fight for dominance in this upgraded pulp edition of a dice-rolling monster battle.,2,6,10,50,8,1.6,7.67,"['dice', 'fighting', 'movies-tv-radio-theme', 'science-fiction']","['dice-rolling', 'king-of-the-hill', 'open-drafting', 'player-elimination', 'push-your-luck']",466,Light
Codenames: Pictures,2016,"Give your team one-word coded clues, trying to identify specific image cards.",2,8,5,35,10,1.2,7.18,"['card-game', 'deduction', 'party-game', 'spies-secret-agents']","['communication-limits', 'memory', 'push-your-luck', 'team-based-game']",467,Light
Evolution: Climate,2016,"Adapt your species in an ecosystem of scarce food, predators, and a dynamic climate!",2,6,40,80,12,2.7,7.47,"['animals', 'card-game', 'educational', 'environmental', 'prehistoric', 'print-and-play']","['action-points', 'events', 'hand-management', 'secret-unit-deployment', 'simulation', 'take-that', 'turn-order-progressive']",468,Medium
Spartacus: A Game of Blood and Treachery,2012,"Barter, buy, bid, deceive, and fight your way to become the dominant dominus in Rome.",3,4,120,180,17,2.7,7.47,"['ancient', 'dice', 'fighting', 'miniatures', 'movies-tv-radio-theme', 'negotiation']","['auction-bidding', 'betting-and-bluffing', 'bribery', 'dice-rolling', 'grid-movement', 'hand-management', 'movement-points', 'sudden-death-ending', 'trading', 'variable-player-powers']",469,Medium
Civilization,1980,Expand and develop your historical empire while trading with competing civilizations.,2,7,340,380,12,3.6,7.49,"['ancient', 'civilization', 'economic', 'negotiation']","['area-majority-influence', 'area-movement', 'hand-management', 'set-collection', 'tech-trees-tech-tracks', 'trading', 'turn-order-stat-based']",470,Medium
Ready Set Bet,2022,"Head to the races for a day of cheering, jeering, and betting!",2,9,45,60,14,1.3,7.55,"['animals', 'party-game', 'racing', 'real-time', 'sports']","['betting-and-bluffing', 'dice-rolling', 'real-time', 'track-movement']",471,Light
Imperial Struggle,2020,"France and Britain clash globally over trade, influence and territory in the 1700s.",2,2,120,240,14,4.1,8.25,"['age-of-reason', 'american-revolutionary-war', 'wargame']","['area-majority-influence', 'events', 'open-drafting', 'point-to-point-movement', 'secret-unit-deployment', 'simulation']",472,Heavy
Here I Stand,2006,Europe in conflict during the Protestant Reformation of the early 16th century.,2,6,180,360,14,4.2,7.88,"['negotiation', 'pike-and-shot', 'political', 'religious', 'renaissance', 'wargame']","['campaign-battle-card-driven', 'dice-rolling', 'events', 'hand-management', 'movement-points', 'point-to-point-movement', 'scenario-mission-campaign-game', 'simulation', 'variable-player-powers', 'variable-set-up']",473,Heavy
Firefly: The Game,2013,Find a crew. Find a job. Keep flying. Cross the 'verse to complete jobs and get paid.,1,4,120,240,13,3.0,7.39,"['adventure', 'exploration', 'movies-tv-radio-theme', 'science-fiction', 'space-exploration', 'travel']","['area-movement', 'dice-rolling', 'open-drafting', 'pick-up-and-deliver', 'solo-solitaire-game', 'take-that', 'trading', 'variable-player-powers']",474,Medium
Biblios,2007,"Amass the greatest library of sacred texts, using your wits and meager gold supply.",2,4,10,50,10,1.7,7.2,"['card-game', 'medieval', 'religious']","['auction-bidding', 'auction-turn-order-until-pass', 'closed-drafting', 'commodity-speculation', 'hand-management', 'set-collection']",475,Light
Mythic Battles: Pantheon,2017,Gather your team from the vast Greek pantheon and fight to the death!,2,4,60,90,14,3.0,8.31,"['ancient', 'card-game', 'miniatures', 'mythology', 'wargame']","['area-movement', 'campaign-battle-card-driven', 'command-cards', 'dice-rolling', 'hand-management', 'line-of-sight', 'open-drafting', 'player-elimination', 'scenario-mission-campaign-game', 'simulation', 'team-based-game', 'variable-player-powers']",476,Medium
Wavelength,2019,Read your teammates' minds in this pinpoint party game of infinite possibilities.,2,12,30,45,14,1.1,7.25,['party-game'],"['race', 'targeted-clues', 'team-based-game']",477,Light
The Great Wall,2021,Control medieval Clans in China trying to resist invading Mongol hordes.,1,4,120,180,13,3.9,7.84,"['economic', 'fantasy', 'territory-building']","['area-majority-influence', 'command-cards', 'cooperative-game', 'income', 'investment', 'secret-unit-deployment', 'solo-solitaire-game', 'turn-order-claim-action', 'worker-placement', 'worker-placement-different-worker-types']",478,Medium
Imperium: Legends,2021,Compete to become the most dominant empire the world has ever seen!,1,4,40,160,14,3.7,7.85,"['card-game', 'civilization']","['deck-bag-and-pool-building', 'end-game-bonuses', 'hand-management', 'market', 'move-through-deck', 'solo-solitaire-game', 'variable-player-powers', 'variable-set-up']",479,Medium
Sword & Sorcery,2017,Heroes are resurrected to face dark forces and ancient evil assaulting Talon Coast.,1,5,60,90,12,4.1,7.88,"['adventure', 'fantasy', 'fighting', 'miniatures']","['action-points', 'area-movement', 'cooperative-game', 'dice-rolling', 'modular-board', 'role-playing', 'solo-solitaire-game', 'variable-player-powers']",480,Heavy
Santa Maria,2017,Build and maximize your polyomino colony in the New World.,1,4,45,90,12,3.0,7.47,"['civilization', 'farming']","['dice-rolling', 'network-and-route-building', 'open-drafting', 'set-collection', 'tile-placement', 'variable-player-powers']",481,Medium
Space Hulk (Third Edition),2009,Space Marines combat Genestealers in the cramped corridors of a derelict spaceship.,2,2,40,80,12,2.8,7.53,"['fighting', 'miniatures', 'science-fiction', 'wargame']","['action-points', 'dice-rolling', 'grid-movement', 'modular-board', 'scenario-mission-campaign-game']",482,Medium
Sprawlopolis,2018,Build the best metropolis by following the planning rules with this 18-card deck.,1,4,15,20,8,1.8,7.3,"['card-game', 'city-building', 'territory-building']","['closed-drafting', 'cooperative-game', 'hand-management', 'layering', 'solo-solitaire-game', 'tile-placement']",483,Light
Millennium Blades,2016,Play as players who are playing the greatest CCG in the universe.,2,5,80,120,12,3.7,7.66,"['card-game', 'real-time']","['commodity-speculation', 'deck-bag-and-pool-building', 'hand-management', 'open-drafting', 'real-time', 'set-collection', 'simulation', 'trading']",484,Medium
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,"Help Sherlock Holmes investigate the notorious serial killer, Jack the Ripper.",1,8,60,120,10,2.2,7.57,"['deduction', 'murder-mystery', 'novel-based', 'post-napoleonic', 'puzzle', 'spies-secret-agents']","['cooperative-game', 'narrative-choice-paragraph', 'solo-solitaire-game', 'storytelling']",485,Medium
Fresco,2010,Buy and mix paints to restore the Renaissance fresco and earn the Bishop's favor.,2,4,40,80,10,2.6,7.25,['renaissance'],"['action-queue', 'grid-movement', 'market', 'set-collection', 'simultaneous-action-selection', 'turn-order-stat-based', 'worker-placement']",486,Medium
Clash of Cultures,2012,Lead your civilization from a single settlement to a mighty empire.,2,4,180,240,14,3.6,7.57,"['ancient', 'city-building', 'civilization', 'economic', 'exploration', 'territory-building']","['action-points', 'area-majority-influence', 'critical-hits-and-failures', 'dice-rolling', 'grid-movement', 'hand-management', 'hexagon-grid', 'modular-board', 'movement-points', 'tech-trees-tech-tracks', 'trading']",487,Medium
Nippon,2015,Build an industrial empire out of a small business during Japan's Meiji period.,2,4,60,120,12,3.8,7.63,"['economic', 'industry-manufacturing']","['area-majority-influence', 'variable-phase-order']",488,Medium
Stockpile,2015,"Bid, buy and sell stocks in this hidden-information game.",2,5,25,65,13,2.1,7.44,['economic'],"['auction-bidding', 'auction-fixed-placement', 'commodity-speculation', 'constrained-bidding', 'investment', 'market', 'open-drafting', 'stock-holding', 'victory-points-as-a-resource']",489,Medium
Commands & Colors: Napoleonics,2010,"Play several battles of the Napoleonic era, with a simple  card driven system.",2,2,70,110,14,2.7,8.05,"['napoleonic', 'wargame']","['campaign-battle-card-driven', 'command-cards', 'dice-rolling', 'grid-movement', 'hand-management', 'hexagon-grid', 'modular-board', 'simulation']",490,Medium
Flash Point: Fire Rescue,2011,Smoke! Fire! Work as a team to save as many as you can from a blazing inferno.,2,6,25,65,10,2.2,7.15,['adventure'],"['action-points', 'cooperative-game', 'dice-rolling', 'grid-movement', 'pick-up-and-deliver', 'simulation', 'solo-solitaire-game', 'square-grid', 'variable-player-powers']",491,Medium
Macao,2009,"Deliver goods, build the city and your tableau using a unique dice selection method.",2,4,50,100,12,3.1,7.4,"['dice', 'nautical']","['action-points', 'dice-rolling', 'hand-management', 'network-and-route-building', 'open-drafting', 'pick-up-and-deliver', 'set-collection']",492,Medium
Kingsburg,2007,"Grow your realm, influence members of the King's court and fight the forces of winter",2,5,70,110,13,2.4,7.17,"['city-building', 'dice', 'fantasy', 'medieval']","['dice-rolling', 'tech-trees-tech-tracks', 'worker-placement-with-dice-workers']",493,Medium
Woodcraft,2022,"Grow trees, gather wood and other materials, craft items and build the best workshop!",1,4,60,120,12,3.8,7.63,"['fantasy', 'industry-manufacturing']","['contracts', 'dice-rolling', 'end-game-bonuses', 'income', 'solo-solitaire-game']",494,Medium
Thunderstone Quest,2018,"Recruit powerful heroes, arm your party and dungeon delve for Thunderstone Shards!",2,4,60,90,14,2.9,7.75,"['card-game', 'fantasy']",['deck-bag-and-pool-building'],495,Medium
Mice and Mystics,2012,"After being turned into mice, a prince and his allies experience giant-sized stories.",1,4,60,90,7,2.7,7.22,"['adventure', 'animals', 'exploration', 'fantasy', 'fighting', 'miniatures']","['area-movement', 'cooperative-game', 'dice-rolling', 'multiple-maps', 'role-playing', 'scenario-mission-campaign-game', 'storytelling', 'variable-player-powers']",496,Medium
Dune,1979,"Use unique strengths, treachery, and cunning to gain control of the Spice.",2,6,60,180,12,3.4,7.59,"['bluffing', 'fighting', 'negotiation', 'novel-based', 'political', 'science-fiction']","['alliances', 'area-majority-influence', 'area-movement', 'auction-bidding', 'force-commitment', 'hand-management', 'map-deformation', 'team-based-game', 'variable-player-powers']",497,Medium
PitchCar,1995,Flick disks around a wooden race track that you can customize out of the box!,2,8,10,50,6,1.1,7.27,"['action-dexterity', 'childrens-game', 'party-game', 'racing', 'sports']","['flicking', 'modular-board', 'race']",498,Light
Mandala,2019,Create and destroy mandalas in this beautifully tense abstract game for two.,2,2,5,40,10,1.8,7.48,"['abstract-strategy', 'card-game']","['area-majority-influence', 'hand-management', 'set-collection']",499,Light
Black Orchestra,2016,Team up to conceive and enact a plot to assassinate Hitler.,1,5,70,110,14,2.4,7.5,"['spies-secret-agents', 'world-war-ii']","['action-points', 'cooperative-game', 'dice-rolling', 'die-icon-resolution', 'hand-management', 'pick-up-and-deliver', 'point-to-point-movement', 'push-your-luck', 'set-collection', 'solo-solitaire-game', 'tech-trees-tech-tracks', 'variable-player-powers']",500,Medium
Black Orchestra,2016,Team up to conceive and enact a plot to assassinate Hitler.,1,5,70,110,14,2.4,7.5,"['spies-secret-agents', 'world-war-ii']","['action-points', 'cooperative-game', 'dice-rolling', 'die-icon-resolution', 'hand-management', 'pick-up-and-deliver', 'point-to-point-movement', 'push-your-luck', 'set-collection', 'solo-solitaire-game', 'tech-trees-tech-tracks', 'variable-player-powers']",501,Medium
Caper: Europe,2022,Three heists. Two rivals. One criminal mastermind will rise to the top.,2,2,25,35,10,2.1,7.68,['card-game'],"['area-majority-influence', 'closed-drafting', 'set-collection', 'tug-of-war']",502,Medium
Claustrophobia,2009,Fight for glory and redemption against endless waves of Hell's minions.,2,2,25,65,14,2.5,7.47,"['adventure', 'exploration', 'fantasy', 'fighting', 'horror', 'miniatures']","['dice-rolling', 'grid-movement', 'line-of-sight', 'modular-board', 'scenario-mission-campaign-game', 'variable-player-powers']",503,Medium
Lord of the Rings: The Confrontation,2005,Get Frodo to Mordor Stratego-style before shadow overtakes him.,2,2,10,50,14,2.2,7.5,"['adventure', 'bluffing', 'deduction', 'fantasy', 'movies-tv-radio-theme', 'novel-based']","['area-movement', 'card-play-conflict-resolution', 'hand-management', 'secret-unit-deployment', 'simultaneous-action-selection', 'variable-player-powers']",504,Medium
Endeavor: Deep Sea,2024,Lead your research institute to explore ocean depths and publish your findings!,1,4,60,120,10,2.9,8.24,"['environmental', 'exploration', 'nautical']","['action-points', 'chaining', 'map-addition', 'solo-solitaire-game', 'tech-trees-tech-tracks']",505,Medium
The LOOP,2020,Legendary Agents team up to fight the Evil Dr. Faux through time.,1,4,40,80,12,2.8,7.72,"['card-game', 'science-fiction']","['cooperative-game', 'cube-tower', 'deck-bag-and-pool-building', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'variable-player-powers', 'variable-set-up']",506,Medium
Libertalia: Winds of Galecrest,2022,"Diverse pirate-animal crews take to the skies, dividing up powerful loot.",1,6,45,60,14,2.2,7.47,"['fantasy', 'pirates']","['action-queue', 'hand-management', 'selection-order-bid', 'set-collection', 'simultaneous-action-selection', 'take-that', 'turn-order-role-order', 'variable-phase-order']",507,Medium
Unsettled,2021,A cooperative survival game in the bizarre and wondrous reaches of deep space.,2,4,60,90,14,3.3,8.12,"['game-system', 'science-fiction', 'space-exploration']","['action-retrieval', 'cooperative-game', 'modular-board', 'scenario-mission-campaign-game', 'tech-trees-tech-tracks', 'variable-set-up']",508,Medium
Reign of Cthulhu,2016,"Close portals, shut down cultists, and stave off insanity before an Old One awakens.",2,4,20,60,14,2.2,7.36,"['horror', 'novel-based']","['action-points', 'cooperative-game', 'hand-management', 'point-to-point-movement', 'set-collection', 'trading', 'variable-player-powers']",509,Medium
The Manhattan Project,2012,Help your nation gain the best arsenal of atomic bombs.,2,5,100,140,13,3.0,7.31,"['aviation-flight', 'economic', 'industry-manufacturing', 'world-war-ii']","['action-retrieval', 'closed-drafting', 'race', 'take-that', 'worker-placement', 'worker-placement-different-worker-types']",510,Medium
Advanced Squad Leader,1985,Play through historical scenarios in this exhaustive squad-level WWII game system.,2,2,120,480,14,4.7,8.01,"['wargame', 'world-war-ii']","['critical-hits-and-failures', 'dice-rolling', 'grid-movement', 'hexagon-grid', 'interrupts', 'line-of-sight', 'modular-board', 'movement-points', 'ratio-combat-results-table', 'scenario-mission-campaign-game', 'secret-unit-deployment', 'simulation', 'variable-player-powers', 'variable-set-up']",511,Heavy
Heroscape Master Set: Rise of the Valkyrie,2004,Distant worlds collide through time and space to battle on 3D landscapes of Valhalla.,2,4,70,110,8,2.3,7.46,"['adventure', 'fantasy', 'fighting', 'miniatures', 'science-fiction']","['dice-rolling', 'grid-movement', 'hexagon-grid', 'line-of-sight', 'modular-board', 'three-dimensional-movement']",512,Medium
Zombicide: 2nd Edition,2021,The ultimate zombie game made reality. Don't get surrounded!,1,6,40,80,14,2.4,7.96,"['fighting', 'horror', 'miniatures', 'science-fiction', 'zombies']","['action-points', 'cooperative-game', 'dice-rolling', 'modular-board', 'multiple-maps', 'scenario-mission-campaign-game', 'variable-player-powers']",513,Medium
Middara: Unintentional Malum - Act 1,2019,Coop dungeon crawler in unusual fantasy setting with massive campaign and storyline.,1,4,40,80,15,4.1,8.57,"['adventure', 'exploration', 'fantasy', 'fighting', 'miniatures']","['action-points', 'cooperative-game', 'dice-rolling', 'grid-movement', 'hand-management', 'modular-board', 'role-playing', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'storytelling', 'variable-player-powers']",514,Heavy
